Company name;Fixed assets 2018;Fixed assets 2017;Fixed assets 2016;Intangible fixed assets 2018;Intangible fixed assets 2017;Intangible fixed assets 2016;Tangible fixed assets 2018;Tangible fixed assets 2017;Tangible fixed assets 2016;Other fixed assets 2018;Other fixed assets 2017;Other fixed assets 2016;Current assets 2018;Current assets 2017;Current assets 2016;Stock 2018;Stock 2017;Stock 2016;Debtors 2018;Debtors 2017;Debtors 2016;Other current assets 2018;Other current assets 2017;Other current assets 2016;Cash & cash equivalent 2018;Cash & cash equivalent 2017;Cash & cash equivalent 2016;Total assets 2018;Total assets 2017;Total assets 2016;Shareholders funds 2018;Shareholders funds 2017;Shareholders funds 2016;Capital 2018;Capital 2017;Capital 2016;Other shareholders funds 2018;Other shareholders funds 2017;Other shareholders funds 2016;Non-current liabilities 2018;Non-current liabilities 2017;Non-current liabilities 2016;Long term debt 2018;Long term debt 2017;Long term debt 2016;Other non-current liabilities 2018;Other non-current liabilities 2017;Other non-current liabilities 2016;Provisions 2018;Provisions 2017;Provisions 2016;Current liabilities 2018;Current liabilities 2017;Current liabilities 2016;Loans 2018;Loans 2017;Loans 2016;Creditors 2018;Creditors 2017;Creditors 2016;Other current liabilities 2018;Other current liabilities 2017;Other current liabilities 2016;Total shareh. funds & liab. 2018;Total shareh. funds & liab. 2017;Total shareh. funds & liab. 2016;NACE Rev. 2 primary code;NACE Rev. 2, primary code description;MORE evaluation - Score 2018;MORE evaluation - Score 2017;MORE evaluation - Score 2016
PRO-GETRAENKE GMBH;761;588;434;0;0;0;611;438;284;150;150;150;4297;3472;2699;0;0;0;0;0;0;4297;3472;2699;1183;1087;1053;5058;4060;3133;1765;1284;876;25;25;25;1740;1259;851;574;609;468;44;64;100;531;546;369;531;546;369;2719;2166;1789;0;0;0;0;0;0;2719;2166;1789;5058;4060;3133;9609;Other personal service activities nec;BBB;BBB;BBB
REHSLER KUEHLSYSTEME GMBH;244;247;184;19;17;3;77;97;58;148;133;123;2254;2276;1898;1423;1360;1050;0;0;0;831;915;847;14;8;8;2498;2523;2082;118;-235;-339;102;102;102;16;-337;-441;592;729;780;408;548;592;184;181;188;184;181;188;1788;2029;1642;0;0;0;0;0;0;1788;2029;1642;2498;2523;2082;2825;Manufacture of non-domestic cooling and ventilation equipment;B;CCC;CC
REISSWOLF AKTEN- UND DATENVERNICHTUNG GMBH & CO. KG;4025;3468;2041;15;16;45;3975;3417;1968;34;34;28;2088;2159;1881;57;111;122;0;0;0;2030;2048;1760;163;16;552;6113;5627;3923;1383;-203;1050;1357;0;1025;26;-203;26;4730;2588;2872;4435;2456;2717;295;132;155;295;132;155;0;3242;0;n.a.;1409;n.a.;n.a.;385;n.a.;n.a.;1448;n.a.;6113;5627;3923;3832;Recovery of sorted materials;BB;CC;BBB
RTC ROSE TRAVEL CONSULTING GMBH & CO. KG;50;40;26;0;0;0;50;40;26;0;0;0;1656;1680;1154;0;0;0;0;0;0;1656;1680;1154;696;779;469;1706;1719;1181;1;1;301;1;1;1;0;0;301;89;130;43;0;33;4;89;97;39;89;97;39;1617;1589;836;0;0;0;0;0;0;1617;1589;836;1706;1719;1181;7911;Travel agency activities;CCC;CCC;BB
SELTENHOFER GMBH;962;946;906;0;0;0;962;946;906;0;0;0;4241;4107;2523;3577;3485;2160;0;0;0;663;622;363;8;16;19;5202;5053;3429;2069;1644;1189;26;26;26;2043;1618;1163;3134;3409;2240;3067;3201;2195;67;208;45;67;208;45;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5202;5053;3429;4510;Sale of motor vehicles;BB;BB;BB
SEPARATOREN-TECHNIK & ANLAGENBAU GMBH;2468;2190;825;102;47;4;2366;2142;821;0;0;0;4474;4754;3836;931;1302;1309;1326;1430;1023;2217;2022;1504;1910;1713;1243;6942;6944;4661;3775;3419;3215;24;24;26;3751;3395;3190;2553;3525;1445;1907;2858;763;645;667;682;645;667;682;615;0;0;0;n.a.;n.a.;0;n.a.;n.a.;615;n.a.;n.a.;6942;6944;4661;7112;Engineering activities and related technical consultancy;BBB;A;BBB
SKANWELL MEYER GMBH & CO. KG;16;29;28;9;18;23;7;11;5;0;0;0;1059;1069;852;322;394;221;0;0;0;736;675;631;0;1;41;1075;1098;880;194;194;194;194;194;194;0;0;0;16;67;56;0;0;0;16;67;56;16;67;56;864;837;629;0;0;0;0;0;0;864;837;629;1075;1098;880;4649;Wholesale of other household goods;BB;BB;BB
SPECHT GMBH;1534;1546;1409;0;0;0;1482;1497;1182;51;49;227;3706;2564;2134;1916;1500;1072;0;0;0;1790;1064;1062;566;81;167;5240;4111;3543;1765;1344;1290;25;25;25;1740;1319;1265;3475;2764;2250;3290;2578;1978;185;186;272;178;184;267;0;3;3;n.a.;0;0;n.a.;0;0;n.a.;3;3;5240;4111;3543;4120;Construction of residential and non-residential buildings;BBB;BB;BB
STOTTMANN GMBH & CO. KOMMANDITGESELLSCHAFT;985;1202;1339;17;21;0;966;1180;1338;2;1;1;841;988;871;0;1;0;0;0;0;841;987;871;94;82;44;1826;2190;2210;15;15;15;15;15;15;0;0;0;328;500;749;140;338;569;188;162;181;188;162;181;1483;1674;1445;0;0;0;0;0;0;1483;1674;1445;1826;2190;2210;4940;Freight transport by road and removal services;CCC;CCC;CCC
TRANSPORTBETON GEISLINGEN-DORNSTADT GMBH + CO. KG;227;444;627;0;0;0;227;444;627;0;0;0;895;720;676;29;39;36;0;0;0;866;681;640;344;289;119;1122;1164;1303;214;214;214;212;212;212;2;2;2;201;950;1090;101;843;1036;100;108;54;100;108;54;707;0;0;0;n.a.;n.a.;0;n.a.;n.a.;707;n.a.;n.a.;1122;1164;1303;2363;Manufacture of ready-mixed concrete;BB;BB;BB
TRANSPORTBETON LEUTKIRCH-ISNY GMBH & CO. KG;753;1169;1078;0;0;0;727;1132;1040;26;37;37;3724;2678;2734;86;91;92;0;0;0;3638;2587;2642;3067;2175;2117;4477;3847;3812;1547;1547;1547;700;700;700;847;847;847;2929;2300;2265;2562;1916;1902;367;384;363;367;384;363;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4477;3847;3812;2363;Manufacture of ready-mixed concrete;BBB;BBB;BBB
TREMMEL HAUS GMBH;128;158;47;1;2;5;123;151;42;5;5;0;3631;2419;1353;2118;1009;514;0;0;0;1513;1411;839;32;247;57;3759;2577;1400;981;733;541;13;13;13;968;721;529;2778;1844;859;2742;1719;737;37;125;122;37;125;122;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3759;2577;1400;6831;Real estate agencies;BB;BBB;BB
V+V VIEH-VERMARKTUNG UND VERMITTLUNG GMBH & CO. KG;252;222;238;0;0;0;252;222;238;0;0;0;451;417;394;2;2;2;0;0;0;449;415;392;92;152;106;703;639;632;26;0;0;26;n.a.;n.a.;0;n.a.;n.a.;132;639;632;106;606;605;26;33;28;26;33;28;545;0;0;0;n.a.;n.a.;0;n.a.;n.a.;545;n.a.;n.a.;703;639;632;4623;Wholesale of live animals;B;CCC;CCC
VENDAS GMBH;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;35;674;1307;0;0;97;0;0;0;35;674;1211;8;9;6;35;674;1307;35;35;81;25;25;25;10;10;56;1;10;25;0;0;0;1;10;25;1;10;25;0;628;1201;n.a.;0;0;n.a.;0;0;n.a.;628;1201;35;674;1307;4511;Sale of cars and light motor vehicles;BB;BB;BB
VIDA LOGISTIK GMBH;1755;1360;1543;13;18;21;1742;1341;1521;0;0;0;1425;1436;1211;0;0;0;0;0;0;1425;1436;1211;107;275;151;3180;2795;2754;356;288;114;25;25;25;331;263;89;2824;984;1395;2708;786;1254;115;199;141;51;136;107;0;1523;1244;n.a.;0;0;n.a.;0;0;n.a.;1523;1244;3180;2795;2754;5229;Other transportation support activities;BBB;BB;B
WIR SIND FRANKREICH GMBH;139;162;176;121;141;149;18;21;27;0;0;0;320;395;417;38;145;125;0;0;0;282;250;293;182;140;155;459;557;593;185;99;97;25;25;25;160;74;72;274;458;497;183;421;458;90;37;38;90;37;38;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;459;557;593;7900;Travel agency, tour operator reservation service and related activities;BB;BB;BB
WVD SUEDCARAVAN GMBH;258;162;121;8;7;11;233;137;93;18;18;18;6892;7372;4709;6182;6843;3902;0;0;0;710;529;807;175;398;518;7150;7533;4830;779;663;534;26;26;26;753;638;508;6076;5324;2890;5780;5017;2632;296;307;258;296;307;258;295;1546;1406;0;n.a.;n.a.;0;n.a.;n.a.;295;150;75;7150;7533;4830;9609;Other personal service activities nec;CCC;CCC;CCC
PARKINSON-KLINIK ORTENAU GMBH & CO. KG.;7463;7582;350;5;6;2;7428;7546;317;30;30;30;4708;5128;4089;111;122;98;738;0;0;3860;5006;3991;376;149;403;12171;12710;4439;4370;9130;1351;51;1053;n.a.;4319;8077;n.a.;2075;2650;1837;1738;2459;1730;337;191;107;337;191;107;5726;930;1251;196;0;0;128;0;0;5403;930;1251;12171;12710;4439;8610;Hospital activities;BBB;A;BB
INTEGO GMBH;1976;1457;1458;8;5;10;390;374;369;1579;1079;1079;6955;7664;6860;547;156;521;0;0;0;6409;7509;6339;2190;3284;2032;8932;9122;8318;3954;6911;6841;23;23;23;3931;6888;6818;856;257;447;0;0;0;856;257;447;856;257;447;4122;1953;1030;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;35;48;107;8932;9122;8318;6201;Computer programming activities;BBB;BBB;BBB
AGRICHEMA SCHUETTGUTTECHNIK GMBH & CO. KG;211;230;229;27;20;17;183;210;212;0;0;0;2703;2187;2501;1861;1491;1412;0;0;0;841;696;1089;193;186;48;2913;2417;2731;1386;1579;1611;1386;1579;1611;0;0;0;536;837;1120;0;264;657;536;573;462;536;573;462;992;0;0;0;n.a.;n.a.;0;n.a.;n.a.;992;n.a.;n.a.;2913;2417;2731;2899;Manufacture of other special-purpose machinery nec;BBB;BBB;BBB
KORN CONSULT GMBH;116;109;69;19;22;3;98;78;67;0;10;0;3008;2515;1744;3;8;0;0;0;0;3006;2506;1744;504;583;441;3125;2624;1814;537;601;480;170;170;125;367;431;355;2588;2022;1333;2455;1833;1205;133;189;129;133;189;129;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3125;2624;1814;7022;Business and other management consultancy activities;BBB;BB;BBB
R + R EISENKONTOR GMBH & CO. KG;65;55;71;14;11;n.a.;52;44;n.a.;0;0;n.a.;400;410;394;56;30;n.a.;0;0;n.a.;344;380;8;1;22;n.a.;465;465;465;-55;55;53;17;55;n.a.;-72;0;n.a.;69;77;89;64;69;81;5;8;8;5;8;8;451;333;322;0;0;0;0;0;0;451;333;322;465;465;465;4672;Wholesale of metals and metal ores;CCC;BB;BB
SCHREINEREI FLAIG GMBH;1870;2008;2153;80;91;24;1779;1906;2118;11;11;11;3197;2886;2889;1461;1246;955;0;0;0;1736;1640;1935;14;14;272;5068;4894;5042;1748;1693;1670;26;26;26;1722;1667;1644;2472;3201;3372;2115;2871;3107;358;330;265;358;330;265;847;0;0;0;n.a.;n.a.;0;n.a.;n.a.;847;n.a.;n.a.;5068;4894;5042;4339;Other building completion and finishing;BB;BBB;BBB
RETTUNGSDIENST AMMERLAND GMBH;5126;4723;4675;92;63;2;5034;4661;4673;0;0;0;2339;3942;3441;0;0;0;1139;1095;1041;1200;2847;2400;1110;2202;1763;7465;8665;8116;3196;4539;4093;25;25;25;3171;4514;4068;3113;3176;3310;2960;3103;3240;154;73;69;154;73;69;1156;950;714;139;136;134;166;273;156;851;541;424;7465;8665;8116;8690;Other human health activities;CCC;BBB;BBB
BEDIRECT GMBH & CO. KG;115;212;302;62;151;242;53;60;60;0;0;0;7787;7337;6387;0;0;0;1430;1254;1308;6357;6083;5079;n.a.;n.a.;n.a.;7902;7549;6690;723;1215;867;50;50;50;673;1165;817;6065;5484;4907;0;0;0;6065;5484;4907;6065;5484;4907;1114;850;917;0;0;0;245;213;186;870;636;731;7902;7549;6690;6311;Data processing, hosting and related activities;B;BB;BB
TRAVEL CHARME BINZ GMBH;1221;1408;1612;7;8;9;1213;1399;1602;1;1;1;2208;976;502;74;77;79;232;228;246;1902;672;177;33;27;11;3429;2384;2113;2212;1739;1210;30;30;30;2182;1709;1180;357;221;196;0;0;0;357;221;196;357;221;196;860;424;707;0;0;0;233;239;144;627;186;563;3429;2384;2113;5510;Hotels and similar accommodation;BBB;BBB;BBB
IST - STUDIENINSTITUT GMBH;917;851;644;21;21;35;771;805;583;125;25;25;6423;4716;4800;0;0;22;0;0;0;6423;4716;4778;3147;1994;2011;7340;5567;5444;5088;3930;3186;24;24;24;5064;3906;3162;470;371;607;0;0;0;470;371;607;470;371;607;1783;1266;1651;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;24;118;63;7340;5567;5444;8542;Tertiary education;A;A;A
HGH VERTRIEBS GMBH;38;71;97;13;26;34;25;45;63;0;0;0;1426;838;646;805;547;339;0;0;0;621;290;307;187;63;24;1465;909;742;826;544;168;100;100;100;726;444;68;639;115;71;539;0;0;100;115;71;100;115;71;0;250;503;n.a.;0;0;n.a.;0;0;n.a.;250;503;1465;909;742;4669;Wholesale of other machinery and equipment;BB;BB;BB
BUG ROHRREINIGUNG GMBH;2999;2633;2731;8;11;6;2991;2622;2707;0;0;18;1387;1187;941;39;44;23;0;0;0;1347;1143;919;341;330;147;4386;3820;3672;1925;1578;1380;100;100;100;1825;1478;1280;2461;2242;2292;2160;1996;2101;302;246;191;302;246;191;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4386;3820;3672;3700;Sewerage;BBB;BBB;BBB
BRUEGGEMANN DAECHER GMBH;1069;1000;992;24;18;3;1004;940;947;42;42;42;4323;3378;3512;3184;2359;2355;0;0;0;1139;1020;1157;390;424;448;5393;4378;4504;1577;1515;1509;102;102;102;1475;1412;1406;3815;2864;2995;3546;2625;2702;269;239;293;269;239;293;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5393;4378;4504;4391;Roofing activities;BB;BBB;BBB
GEA SEGMENT MANAGEMENT HOLDING GMBH;0;0;1;0;0;0;0;0;1;0;0;0;12757;10940;10864;0;0;0;0;0;0;12757;10940;10864;n.a.;n.a.;n.a.;12757;10940;10865;492;492;492;26;26;26;466;466;466;12140;10322;10373;158;1;882;11982;10321;9491;11982;10321;9491;125;126;0;0;0;n.a.;0;0;n.a.;125;126;n.a.;12757;10940;10865;7010;Activities of head offices;CC;CC;B
GILLES GMBH BAU- UND BRENNSTOFFE;528;739;1104;0;0;0;528;739;1104;0;0;0;2146;1536;1500;99;83;88;0;0;0;2048;1453;1412;983;770;794;2675;2275;2604;1490;1179;1006;26;26;26;1465;1154;981;418;1096;566;32;889;337;387;207;229;387;207;229;766;0;1032;0;n.a.;0;0;n.a.;0;766;n.a.;1032;2675;2275;2604;4941;Freight transport by road;BBB;BBB;BBB
MKV GMBH KUNSTSTOFFGRANULATE;1433;877;528;7;10;8;1427;867;520;0;0;0;3818;4202;4207;384;409;370;0;0;0;3434;3793;3837;2042;2631;1572;5251;5079;4734;2235;2167;2153;100;100;100;2135;2067;2053;2301;2912;1940;1048;1869;1030;1253;1043;910;1253;1043;892;715;0;642;0;n.a.;0;0;n.a.;0;715;n.a.;642;5251;5079;4734;3832;Recovery of sorted materials;BBB;BBB;BBB
GBI HOTELBAU- UND BETRIEBSGESELLSCHAFT MBH & CO. KG;67;95;128;0;0;0;67;95;128;0;0;0;3375;1770;1807;858;81;66;0;0;0;2517;1689;1741;466;43;7;3442;1865;1935;-4984;-3404;-3048;0;-3404;0;-4984;0;-3048;4826;2768;3017;4734;2509;2509;92;259;508;92;259;508;3600;2500;1966;0;0;0;776;587;127;2824;1913;1839;3442;1865;1935;5510;Hotels and similar accommodation;CC;CCC;CCC
NECKAR DRAHTWERKE GMBH;0;0;0;0;0;0;0;0;0;0;0;0;1968;2165;1881;0;0;0;0;0;657;1968;2165;1224;27;10;17;1968;2166;1881;1063;1182;1085;511;511;511;552;670;574;905;984;287;514;621;0;391;364;287;391;364;287;0;0;510;n.a.;n.a.;0;n.a.;n.a.;13;n.a.;n.a.;496;1968;2166;1881;2593;Manufacture of wire products, chain and springs;BBB;BBB;BBB
MILZ & LINDEMANN GMBH;755;515;1066;0;0;1;755;515;1066;0;0;0;6503;5309;4676;5310;3802;3389;0;0;0;1193;1506;1287;608;20;665;7259;5824;5742;1946;1844;1748;13;13;13;1934;1831;1735;5312;3980;3995;5153;3849;3871;159;132;124;159;132;124;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;7259;5824;5742;4500;Wholesale and retail trade and repair of motor vehicles and motorcycles;B;BBB;BBB
FUENFSCHILLING HOF GMBH & CO. KG;55;42;42;0;0;0;55;42;42;0;0;0;879;868;689;384;379;435;0;0;0;495;489;254;95;126;54;934;910;731;353;335;37;353;335;37;0;0;0;112;144;695;0;0;588;112;144;107;112;144;107;469;431;0;0;0;n.a.;0;0;n.a.;469;431;n.a.;934;910;731;5610;Restaurants and mobile food service activities;BB;BB;B
HUFELAND-TRAEGER-GESELLSCHAFT WEIMAR MIT BESCHRAENKTER HAFTUNG;24666;24310;23536;5;13;21;24661;24297;23515;0;0;0;1543;1864;1691;0;0;0;0;0;54;1543;1864;1637;1035;1499;1195;26209;26174;25227;20048;19717;19630;125;125;125;19923;19592;19505;4443;4478;4255;4289;4367;4226;154;111;29;154;111;29;1718;1979;1341;310;310;0;115;273;0;1293;1396;1341;26209;26174;25227;8412;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;BB;BB;BBB
SEDLMAIER ZOOMARKT GMBH;646;734;227;565;615;197;81;119;31;0;0;0;1148;1192;817;972;856;555;0;0;0;176;336;261;57;179;194;1794;1926;1044;162;305;234;25;25;25;137;280;209;1632;1620;307;1548;1560;200;84;60;107;84;60;107;0;0;503;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;503;1794;1926;1044;4776;Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores;BB;BB;BB
ITV DENKENDORF PRODUKTSERVICE GMBH;3631;3711;4062;2;5;7;3629;3706;4054;0;0;0;4707;4031;3853;1370;1932;1962;546;816;650;2790;1282;1241;2754;929;1160;8338;7741;7915;7108;6733;7309;25;25;25;7083;6708;7284;293;608;290;0;0;0;293;608;290;293;608;290;937;400;316;0;0;0;112;140;44;825;261;271;8338;7741;7915;7210;Research and experimental development on natural sciences and engineering;A;BB;AA
RUEL STAHLBAU GMBH;341;345;324;0;0;0;340;345;324;1;1;1;4133;3768;4355;1121;603;700;0;0;0;3012;3165;3654;1180;1420;1367;4474;4113;4679;3321;3279;3273;28;28;28;3293;3251;3245;1153;835;1406;1078;636;1324;75;198;82;75;198;82;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4474;4113;4679;2511;Manufacture of metal structures and parts of structures;BBB;BBB;BBB
WECO-FRUCHT GMBH;222;267;292;0;0;0;222;267;292;0;0;0;690;600;693;36;27;32;0;0;0;654;572;662;192;211;295;912;867;986;102;70;81;52;52;52;50;18;29;810;796;905;724;682;771;86;114;134;86;114;134;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;912;867;986;4631;Wholesale of fruit and vegetables;BB;BB;BB
GERTZEN KRANLOGISTIK VERWALTUNGSGESELLSCHAFT MBH;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;857;1350;844;0;0;0;0;0;0;857;1350;844;2;1;1;857;1350;844;155;138;118;25;25;25;130;113;93;182;1213;726;0;972;522;182;240;204;182;240;204;520;0;0;0;n.a.;n.a.;0;n.a.;n.a.;520;n.a.;n.a.;857;1350;844;7010;Activities of head offices;BB;B;BB
JFC INTERNATIONAL (EUROPE) GMBH;19734;30863;14259;4;8;3;288;169;120;19443;30685;14136;3963;3645;7400;1122;0;0;0;0;0;2842;3645;7400;15;7;37;23698;34507;21659;6505;8681;11548;1500;1500;1500;5005;7181;10048;700;25826;10111;0;25302;9686;700;525;425;700;525;425;16493;0;0;0;n.a.;n.a.;0;n.a.;n.a.;16493;n.a.;n.a.;23698;34507;21659;4638;Wholesale of other food, including fish, crustaceans and molluscs;B;BB;BB
PERNER SPEZIALTIEFBAU GMBH DELITZSCH;4808;5839;3769;0;0;0;4808;5839;3769;0;0;0;1768;1780;1640;1272;1173;1091;277;235;207;220;372;343;34;320;271;6576;7619;5409;1571;1461;1305;26;26;26;1546;1436;1280;2828;4019;2516;2323;3423;1810;505;596;707;333;359;358;2177;2140;1588;1404;1442;863;480;392;452;292;306;274;6576;7619;5409;4299;Construction of other civil engineering projects nec;B;B;B
NATURSTEIN STEINMANN GMBH;512;331;230;0;0;0;320;188;135;192;143;95;3718;3052;2588;369;420;12;0;0;0;3349;2632;2576;1607;758;1672;4229;3382;2818;2938;2208;1842;25;25;25;2913;2183;1817;1291;1174;950;1113;1116;716;178;59;233;178;59;233;0;0;26;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;26;4229;3382;2818;2370;Cutting, shaping and finishing of stone;BBB;BBB;BBB
KEW KUNSTSTOFFERZEUGNISSE GMBH WILTHEN;4229;4099;4304;8;16;20;4203;4061;4255;17;23;28;4145;4133;3736;2485;2500;2350;1318;1321;1070;342;312;316;105;105;101;8374;8232;8040;4807;4670;4588;50;50;50;4756;4619;4538;1000;898;1006;596;512;622;404;386;384;404;386;384;2567;2664;2445;1242;1021;992;1011;1043;872;315;600;581;8374;8232;8040;2229;Manufacture of other plastic products;BB;BB;BB
HEAD GERMANY GMBH;5750;5827;5180;11;16;5;383;447;240;5356;5365;4935;2634;2570;2839;0;0;0;0;0;0;2634;2570;2839;854;591;444;8384;8397;8019;3296;2714;1892;260;260;260;3036;2454;1632;4825;4700;5888;0;0;862;4825;4700;5027;4825;4700;5027;262;984;239;0;0;n.a.;213;499;239;49;485;n.a.;8384;8397;8019;4649;Wholesale of other household goods;BBB;BBB;BBB
KOMMUNALDIENSTE NIEDERRHEIN HOLDING GMBH;30384;30610;30950;13990;13996;13997;16325;16545;16884;69;69;69;3317;3026;4312;24;13;15;1980;1952;1952;1314;1062;2345;1045;915;2261;33701;33637;35261;9218;8335;7788;25;25;25;9193;8310;7763;22089;23102;24931;20009;20944;22288;2080;2158;2643;207;168;535;2394;2201;2543;638;749;1081;638;353;169;1118;1098;1293;33701;33637;35261;6420;Activities of holding companies;BB;BB;BB
SAB TEC GMBH;3935;2719;2568;22;7;0;3726;2712;2568;186;0;0;2244;2014;1667;873;497;618;0;0;0;1370;1516;1050;170;1;2;6178;4732;4235;1256;912;744;25;25;25;1231;887;719;4922;2261;2390;4838;2184;2188;84;76;202;84;76;202;0;1559;1101;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;1559;1;6178;4732;4235;4674;Wholesale of hardware, plumbing and heating equipment and supplies;BB;B;B
AUTOTUNING LIER GMBH;181;158;184;0;0;0;181;158;184;0;0;0;2415;2796;2390;2098;2541;2146;0;0;0;317;256;243;182;34;3;2596;2954;2574;154;284;286;26;26;26;128;258;261;189;248;2288;178;240;2275;11;8;13;11;8;13;2253;2423;0;0;0;n.a.;0;0;n.a.;2253;2423;n.a.;2596;2954;2574;4532;Retail trade of motor vehicle parts and accessories;CCC;CCC;B
TAETER-TOURS GMBH;3774;4366;4882;0;0;10;3774;4366;4872;0;0;0;963;1131;1869;7;0;0;132;114;254;824;1017;1615;27;23;7;4737;5498;6751;2232;2208;3495;26;26;26;2206;2183;3470;1494;2176;2370;1188;1614;2039;306;562;331;306;562;331;1011;1113;885;426;428;426;47;104;117;538;582;342;4737;5498;6751;4939;Other passenger land transport nec;BB;CCC;BBB
WOHNBAU KEIFL GMBH & CO. KG;13389;13794;11508;15;13;10;8490;8898;9171;4883;4883;2328;9322;6835;6785;2382;3888;1843;0;0;0;6940;2946;4942;6368;2265;4474;22710;20629;18293;10134;8183;7292;10006;8056;7164;128;128;128;654;12338;613;0;12087;517;654;251;96;654;251;96;11923;108;10387;n.a.;0;n.a.;n.a.;0;n.a.;13;108;35;22710;20629;18293;4110;Development of building projects;BB;BB;B
STEFAN WICKLEIN KUNSTSTOFFVEREDELUNG GMBH;1526;1650;1709;0;5;11;1526;1645;1698;0;0;0;2475;2584;2017;790;807;781;0;0;0;1686;1777;1235;35;30;31;4001;4234;3725;1162;1640;393;110;110;110;1052;1530;283;2839;2594;3333;2745;2488;3233;94;106;100;94;106;100;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4001;4234;3725;2561;Treatment and coating of metals;BB;BBB;B
SCHMIDT GMBH;246;196;178;0;0;0;246;196;178;0;0;0;1396;1538;1388;260;203;227;0;0;0;1136;1335;1162;348;619;551;1642;1733;1566;884;1014;828;26;26;26;858;988;802;758;720;738;646;606;682;112;114;56;112;114;56;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1642;1733;1566;4638;Wholesale of other food, including fish, crustaceans and molluscs;BBB;BBB;BBB
PBAS PROJEKT-BAU GMBH;1365;1427;2520;0;0;0;366;439;505;999;988;2015;5967;7085;6035;979;1495;655;1267;1341;1539;3721;4250;3842;3563;4060;3585;7333;8512;8555;5421;5818;6593;256;256;256;5165;5562;6337;584;516;557;175;171;270;408;345;288;408;345;288;1328;2178;1405;0;n.a.;0;237;n.a.;0;1091;571;1405;7333;8512;8555;4120;Construction of residential and non-residential buildings;AA;AA;A
GEMEINDEWERKE WADGASSEN GMBH;17347;15653;14394;35;58;69;17287;15569;14301;25;25;25;2075;4261;3630;143;121;121;880;786;489;1052;3354;3021;630;2918;2134;19422;19913;18025;5949;5962;5980;1000;1000;1000;4949;4962;4980;10844;11416;9847;10517;10517;9108;327;899;739;327;899;739;2629;2535;2198;0;559;482;659;866;617;1970;1111;1098;19422;19913;18025;3600;Water collection, treatment and supply;BB;BB;BB
H. ADAM GMBH;543;617;685;533;600;667;10;17;18;0;0;0;1803;1652;1778;356;567;555;0;0;0;1447;1085;1223;1191;846;991;2346;2269;2463;2090;1625;1102;25;25;25;2065;1600;1077;101;150;1182;0;0;1000;101;150;182;101;150;182;154;494;179;0;0;0;0;0;0;154;494;179;2346;2269;2463;4652;Wholesale of electronic and telecommunications equipment and parts;BBB;BBB;BBB
HEIZKRAFTWERK GIESSEN GMBH;5552;5086;3695;0;0;0;5552;5086;3695;0;0;0;11796;12566;12047;80;101;128;52;147;354;11665;12318;11565;4037;5914;4634;17348;17652;15742;14424;14463;13714;3000;3000;3000;11424;11463;10714;603;294;212;0;0;0;603;294;212;603;294;212;2321;2895;1816;0;0;0;34;42;38;2287;2854;1778;17348;17652;15742;3530;Steam and air conditioning supply;BBB;AA;A
AVUS BUCH & MEDIEN GMBH;46;34;74;2;0;0;44;33;74;0;0;0;5509;5113;5219;1647;1741;1755;0;0;0;3861;3373;3465;1774;1514;1376;5554;5147;5293;5171;4760;4578;26;26;26;5145;4735;4553;277;386;414;0;156;0;277;231;414;277;231;414;106;0;301;0;n.a.;0;0;n.a.;0;106;n.a.;301;5554;5147;5293;5811;Book publishing;A;A;A
